SENSOR_ID,FP_ID,LOC_ID,FROM_DATETIME,TO_DATETIME,LAT,LON,web_id,batt_%,first_soilMes,last_soilMes,nNAs_soilMes,NAsRatio_soilMes,notes
PI040298AD5I209386,6D13,WJd2bAJl1l1535462201843,2019-05-01 07:40:53,2019-07-30 07:40:53,37.1391829203616,-8.63174107131516,ALG_VDL_Ss54-6D13,100,2018-08-25 19:30:00,2019-07-29 17:30:00,2752,0.084823079768216,
PI040298AD5I214027,5D52,HHmLWtfACp1535221024093,2019-05-01 07:40:53,2019-07-30 07:40:53,37.1391022893847,-8.63144746787803,ALG_VDL_Ss55-5D52,100,2018-08-25 19:30:00,2019-07-29 17:45:00,2767,0.0852854148686968,
PI040298AD5I208531,805C,fhYI5qImzV1553963740749,2019-05-01 07:40:53,2019-07-30 07:40:53,37.139640048995,-8.62924423948207,ALG_VDL_VY01-805C,78,2019-03-30 16:45:00,2019-06-30 16:45:00,2790,0.24012393493416,
PI040298AD5I214057,3390,ln7GJkYJoH1535190707803,2019-05-01 07:40:53,2019-07-30 07:40:53,37.1391308108068,-8.63339052842582,ALG_VDL_Ss11-3390,17,2018-08-25 11:00:00,2019-06-30 17:00:00,2793,0.0859966746720857,
PI040298AD5I205667,66C4,QCXimA0HlX1535454572288,2019-05-01 07:40:53,2019-07-30 07:40:53,37.1385232731897,-8.63510403342741,ALG_VDL_TS04-66C4,100,2018-08-26 12:00:00,2019-07-28 09:00:00,2815,0.0869417505713756,
PI040298AD5I213031,5559,QOjz7TCuyU1534870967925,2019-05-01 07:40:53,2019-07-30 07:40:53,37.1402362148764,-8.63543014896242,ALG_VDL_Mn32-5559,25,2018-08-21 18:15:00,2019-06-30 10:15:00,2816,0.0857673681966315,
PI040298AD5I211401,95B0,Ne6qoADmUA1535263656315,2019-05-01 07:40:53,2019-07-30 07:40:53,37.1387280674419,-8.63291797671073,ALG_VDL_Sb05-95B0,15,2018-08-25 20:15:00,2019-07-28 09:00:00,2857,0.0880675688172375,
PI040298AD5I210998,A45D,btugHA2Mqn1535456523021,2019-05-01 07:40:53,2019-07-30 07:40:53,37.1383135411643,-8.63488530939955,ALG_VDL_SB11-A45D,100,2018-08-26 11:00:00,2019-07-28 08:45:00,3032,0.0936322648384905,
PI040298AD5I213561,58DD,sJCZG81o1O1535218842733,2019-05-01 07:40:53,2019-07-30 07:40:53,37.1394840876003,-8.6320246183177,ALG_VDL_Ss45-58DD,100,2018-08-25 19:00:00,2019-07-29 17:45:00,3127,0.0963755162423719,
PI040298AD5G200816,2D8F,Cvg7QlZ48P1535451367123,2019-05-01 07:40:53,2019-07-30 07:40:53,37.1391692982982,-8.63465725650764,ALG_VDL_TS14-2D8F,100,2018-08-28 11:30:00,2019-07-28 09:15:00,3128,0.0971790729464397,
