LAT,LON,SENSOR_ID,FP_ID,LOC_ID,FROM_DATETIME,TO_DATETIME
37.139391302219,-8.63293890035322,PI040298AD5I213852,6401,E8HPF1N1Py1535193571285,2018-10-12 12:46:00,2019-01-10 12:46:00
37.139206121734,-8.6331614149763,PI040298AD5I212108,5F9D,cBdmhXvyjr1535192256090,2018-10-12 12:46:00,2019-01-10 12:46:00
37.1391308108068,-8.63339052842582,PI040298AD5I213451,3100,o2qYk7uYgD1535191040151,2018-10-12 12:46:00,2019-01-10 12:46:00
37.1391344033013,-8.63360349267156,PI040298AD5I210868,5FD8,caYV2EkhLP1535188065329,2018-10-12 12:46:00,2019-01-10 12:46:00
37.1384628549096,-8.63428816787675,PI040298AD5I212982,54AD,o2hzUJIcfj1535456889401,2018-10-12 12:46:00,2019-01-10 12:46:00
37.1387280674419,-8.63291797671073,PI040298AD5I211401,95B0,Ne6qoADmUA1535263656315,2018-10-12 12:46:00,2019-01-10 12:46:00
37.1402622335523,-8.63509260148648,PI040298AD5I213966,0F0C,MySbD5DVVV1534867996413,2018-10-12 12:46:00,2019-01-10 12:46:00
0.0,0.0,PI040298AD5I206183,65BE2016-09-14_hawaii-2.\r0.3_hardware-config-MP.csv,UTQ9iQp32y1535218909692,2018-10-12 12:46:00,2019-01-10 12:46:00
0.0,0.0,PI040298AD5I213249,4D8F,xPDeeHfVsC1535218472792,2018-10-12 12:46:00,2019-01-10 12:46:00
0.0,0.0,PI040298AD5I211658,9610,2GSZ0xQwt61535219432166,2018-10-12 12:46:00,2019-01-10 12:46:00
37.1409470915287,-8.63364941350972,PI040298AD5I206187,65E0,y05c942uCK1535299209934,2018-10-12 12:46:00,2019-01-10 12:46:00
37.1408876828057,-8.63402680914387,PI040298AD5G203720,CF87,KEuEizqP8E1535298576003,2018-10-12 12:46:00,2019-01-10 12:46:00
37.1399606587496,-8.63466836005483,PI040298AD5I211999,2CD5,Fq2FXgQLM81534849197309,2018-10-12 12:46:00,2019-01-10 12:46:00
37.1392702562763,-8.63614063873349,PI040298AD5I211452,9FFC,ugWJA2HRIV1533056324298,2018-10-12 12:46:00,2019-01-10 12:46:00
37.1393986996741,-8.63470392678922,PI040298AD5I210659,C488,PshDHbDAJL1533050332875,2018-10-12 12:46:00,2019-01-10 12:46:00
37.1387182447023,-8.63455445394471,PI040298AD5I212139,2D46,bFqZZnoxk21535454015361,2018-10-12 12:46:00,2019-01-10 12:46:00
37.139453955359,-8.63277766440898,PI040298AD5G200671,4A9D,mIhNKJ1OhH1535215566055,2018-10-12 12:46:00,2019-01-10 12:46:00
